text,text_length,x,y
play some Bertine Zetlitz record,32,-3.2974088,-1.6030513
"Play my Hardstyle, Baby playlist on Netflix",43,-4.365242,0.14118877
Play the top symphony music from Ejigayehu Shibabaw,51,-3.2403104,-1.731317
Open Itunes and play Heath music from 1981,42,-4.237087,-1.9811354
I want to listen to a concerto from Timour Moutsouraev.,55,-2.034247,-0.59201735
Play me the dinner playlist,27,0.07567867,-1.8137953
play music by Shinji Miyazaki,29,-3.4569342,-1.5621824
Play any music on Spotify,25,-3.3683152,-2.8495822
Play a record from the seventies,32,-3.7699373,-0.989116
open the Canciones del Recuerdo playlist and play songs,55,-1.1527854,-1.6439197
Play the top-10 chant by Caetano Veloso on Pandora,50,-4.5551696,-0.78750265
Play Water Under The Bridge by Hariprasad Chaurasia.,52,4.167583,2.8537998
play Matt Uelmen songs from 1965 on Slacker,43,-3.0989294,-1.6150469
I want to hear Shooby Taylor's Tearing Up The Album Charts.,59,-1.823996,-0.67726624
Play Niko from the fourties,27,-2.4003432,-1.747037
Play Clasicos del Hip Hop Espanol,33,-1.6444343,-1.9141259
Play Circus Farm by Deana Carter.,33,-2.4997053,3.394221
play some nineties music,24,-3.8303757,-1.7546893
play music by Bryan Maclean,27,-3.9014735,-1.7157186
Play POP GOES THE 80s.,22,-1.7860035,-3.052289
Play music from 2015,20,-3.6453967,-1.4229813
Play music from 1964,20,-3.9284532,-1.015677
Play me songs from agreable,27,-2.816365,-1.3618306
Play tune from Sonny Stitt,26,-2.8368378,-1.734352
Play some 50 Shades of Love,27,-1.2261176,-0.85691226
Play some sixties music on Slacker.,35,-4.0347204,-1.3503464
Play Tomorrow,13,-2.9333618,4.211562
Can you play a sound track by Sissieretta Jones,47,-2.9673576,-2.4848335
Play me a nineties song by Joseph Genaro,40,-2.8727288,-1.3523356
I want to hear Sarban's greatest hits,37,-2.3460498,-0.65311795
play ray davies on Iheart by only Hit It Again,46,-2.931384,-1.0622576
Play my 88 Keys playlist.,25,-1.222197,-2.5354948
Play some Rockwell from around 1996,35,-3.7229836,-2.0094385
Play me a top 20 chant by Ruwanga Samath on Lastfm,50,-4.63957,-0.74859196
play something from the twenties,32,-3.7739055,-1.2500377
Play Ciribiribin by Sandeep Khare,33,-1.8827122,-1.3075373
play some 1991 Dave Barker,26,-2.8815222,-1.5804205
Play Wynton Kelly music on Netflix sort by popular,50,-4.3755403,0.1455369
Play bebob on Iheart,20,-3.3064187,-0.95882416
Play the top 5 by Akira The Don.,32,-2.5177915,-1.4347597
play some rap on Pandora,24,-3.493788,-0.73769546
Play a melody from Elmer Bernstein,34,-3.763554,-1.6299635
play The Necromancer,20,-0.9977847,1.5749509
Can you play Under The Anheuser Bush by Pete Doherty,52,-2.2372923,-0.3186578
Play any song from 2001,23,-3.318994,-1.5808965
I want to hear some music from Groove Shark,43,-3.0697901,-3.4155686
Play Sound Of Love from Papa Mali,33,-2.6457548,-0.9865328
I wanna hear something on Spotify by Eddie Vinson,49,-3.2928898,-2.6819873
Play a twenties track by the aj carothers on Zvooq.,51,-2.694579,-2.2786362
Play Magic Time by Phoebus,26,-2.804169,4.0948915
Play Johnny Gimble,18,-2.3213472,-1.9252286
play music from 1981,20,-3.644061,-1.4367193
play music on Netflix,21,-4.4770284,0.23693775
Play a tune by Andrew Findon,28,-3.1374965,-2.0010822
"Play the playlist, A Mis Ninos de 30.",37,-1.2311895,-2.3583794
Play some chanson music,23,-3.8159046,-1.6636567
Play a movement from 1974.,26,-3.3708572,-1.1189804
Can you play Maggie Mae on Netflix,34,-4.474571,0.24494281
Play music by Young Steff,25,-3.833932,-1.5983013
Play Barbra Streisand music from 1997.,38,-2.5169623,-1.8695029
Play greatest chant music from Beni Arashiro,44,-4.6870112,-0.75290376
play Make The Cowboy Robots Cry by Sabin Rai on Vimeo,53,-1.9501745,3.7234156
Can you play me songs from the Estado de animo playlist?,56,-1.7759594,-1.6717864
Play music by Janet Paschal,27,-3.5995903,-1.5456153
Play Praise The Lord And Pass The Ammunition.,45,-1.7072344,2.9693122
Please play Short And Sweet by Teyana Taylor from my itunes.,60,-2.7684336,-1.3992351
Play fourties music on Pandora.,31,-3.5259476,-0.88682884
Play music by Damien Rice,25,-3.7546096,-1.7784623
Play some Rachel Stevens off of Itunes,38,-4.020907,-2.0070348
Play music from the seventies for me. ,38,-3.8684309,-0.9062637
Play some Tony Grant.,21,-1.6027375,-1.6644874
play Andy White,15,-2.0230043,-1.5791469
Use Google Music to play a song,31,-4.2814083,-1.4582478
Play Spotify,12,-3.301027,-2.9290662
Play music from 2007.,21,-3.8651574,-1.7816544
Play me a song from the sixties,31,-3.7360876,-1.021704
play Robin Trower Unravel,25,-1.2431487,-1.5310615
play the top twenty movement songs from Roberto Valverde,56,-3.282054,-1.4615606
Play hanging in the balance by Nik Kershaw on Zvooq.,52,-2.6882734,-2.0569363
Play the album Vibrations by Marion Elise Raven,47,-2.2563763,-0.561475
play a track by Mila Islam from Deezer,38,-3.396219,-2.3150501
play Jawad Ahmad,16,-2.3682919,-1.7218559
play fourties tunes by Bryan Webb on Groove Shark,49,-3.1463165,-3.5323882
play Party Ben on Slacker,25,-2.0223181,-1.2727543
Use Groove Shark to play music from the nineties,48,-3.1711707,-3.5338278
Play eighties music,19,-4.0772643,-1.0366585
play my Madrugando playlist on Groove Shark,43,-3.0644639,-3.4280276
play Darude,11,-1.1761572,1.2655311
Play Shinji Miyazaki's music on netflix,39,-4.3666587,0.113022596
Play 2gether by Jade Puget,26,-2.162988,-1.4320242
play Wow by Jon Theodore,24,-2.396634,-1.5260549
play Doctor Fink if i could choose,34,-2.0159066,-1.2420745
Please open pandora for me,26,-3.1474347,-0.67991287
Can I hear a tune from Vladimir Vysotski?,41,-2.4357011,-0.8524759
Please play Different Slanguages by Fred Labour.,48,-1.843127,-1.2545301
play music from the sixties,27,-4.025772,-1.0448284
I want to hear Somi's songs from the twenties,45,-2.8158174,-0.5861364
play Tom Jones album from the twenties,38,-2.335159,-1.2214094
play songs on Itunes,20,-4.3928795,-2.091795
play a chant by Sonsee,22,-4.7547307,-0.7269593
Play my Piano Ballads playlist.,31,-1.7093054,-1.9301169
play the album a kiss before you go by Bt,41,-1.3469142,0.012746742
Play the Instrumental Study on Vimeo.,37,-2.8072586,-2.125866
Play some salsa music.,22,-3.2521372,-1.6185942
Play top Rosanne Cash,21,-0.5758379,-1.3485485
play Slacker tunes,18,-4.0649457,-1.6619954
Play the most popular soundtrack by Elena Paparizou on youtube,62,-3.1732697,-0.5541276
Play Midnight Special,21,-0.3903999,2.9423363
play pop music with Groove Shark,32,-3.1948998,-3.6253228
play Takes Place In Your Work Space by Eddie Kendricks,54,-1.5515031,-0.32355037
Play eighties music by Kaira Kwong on Google Music,50,-4.191284,-1.4821326
play 1970 trunes,16,-3.634374,-1.0219064
Play breathtaking music,23,-3.7954533,-1.6705297
Play a track from 1985.,23,-2.6907384,-2.5596495
Play shining down by Tsukiko Amano on pandora.,46,-3.298544,-0.7381597
play Who Do You Think You Are by Magnifico with spotify,55,-2.1436918,-2.099819
Play tribal,11,-1.891969,-1.566233
Play Rain by Subliminal on Groove Shark,39,-3.1224473,-3.4600189
Play ballad music from 1958,27,-3.829644,-0.84930724
Repeat the track of music,25,-3.310004,-2.1770177
Play the playlist introspective,31,-1.0750443,-3.2088072
Please play a song from the thirties by Peter Murphy on Last Fm,63,-2.943345,-1.3384753
Play Party Through The Decades on Deezer,40,-3.6521347,-2.5272927
Play Martha My Dear by shannon.,31,-1.5227122,-1.1877908
play the greatest Adrian Kowanek music,38,-3.1370933,-1.7813838
Can I hear a symphony from the seventies on Youtube?,52,-3.0997014,-0.48942068
I'd like to listen to Space music,33,-2.5465634,-0.42221192
play the last Niney The Observer song,37,-2.815759,-1.1012162
Play a chant by Mj Cole,23,-4.7358203,-0.7368004
Play industrial music.,22,-3.7523813,-1.8949037
Play always by walter parazaider.,33,-1.9939661,-2.291105
Play thirties on Lastfm,23,-3.4732873,-1.3104144
play music form the fourties with Slacker,41,-3.9930902,-1.7340949
Use pandora to play music from stano in the year 2005,53,-3.347987,-0.6726566
Use Groove Shark to play Krizz Kaliko,37,-3.1190562,-3.5189478
Play the music of Filipp Bedrossowitsch Kirkorow's theme,56,-3.133093,-1.5488254
Play Skin & Bone by Jess Stacy on Deezer,40,-0.8196202,-2.4789221
Play me a seventies ep,22,-3.6656175,-0.9421136
play falco on Zvooq for Good Hit,32,-2.8594213,-2.0074832
On Itunes play the latest Anna Yesipova ep,42,-4.179102,-1.9718528
Play music from the track She Came In Through The Bathroom Window,65,-2.839107,-2.0335753
play some best selling rave songs,33,-1.9832664,-2.1897283
Play Change Has Come on Google Music.,37,-4.3444996,-1.4958414
Play the newest stuff by blowfly,32,-0.878628,-2.0560348
Play the playlist spring,24,-1.0773611,-3.2067757
I want to hear something from the nineties by Alissa Musto on Groove Shark,74,-3.0400074,-3.3706117
Play Trace Adkins' music from the thirties.,43,-3.8656628,-1.3084344
Play a soundtrack from 1954.,28,-3.5116673,-0.7476505
"Can you play something from the fourties, preferably a symphony?",64,-3.4844456,-1.7479469
play Clifford Brown All Stars by Michael Balzary,48,-0.09914213,5.3580794
play Pandora Christian Gangsta Rap,34,-3.3396924,-0.8864804
Play any chanson,16,-3.748579,-1.5056007
Play a chant from the fifties,29,-4.6244407,-0.74199134
Play Leanne Dobinson Right To Dream,35,-1.0796218,-1.5806926
play The Happiest Days Of Our Lives by Tommy Emmanuel,53,-2.0544007,-0.77421117
Please play This Is The Day by Brian Robertson.,47,-2.170597,-1.624636
play Abhijeet Bhattacharya from 1986,36,-2.3001206,-1.4645579
Play a new tune by louis silvers.,33,-2.7628074,-1.8015065
Play me a song by Steve Hackett from Manuel,43,-2.7972727,-1.2708883
Play Portsmouth by Paul Smith on Google Music.,46,-4.0748057,-1.4915078
Play Dj Drama from the 1976,27,-3.5916328,-1.3337846
play my tribute by Billy Cox,28,-2.295586,-1.2702157
"Play the playlist, Hardstyle, Baby.",35,-1.202314,-2.5794654
Play me a sound track by Bert Mccracken on zvooq,48,-2.8627388,-2.3389108
Play some music from the fourties.,34,-3.7334619,-1.823464
Play music on Itunes.,21,-4.3551874,-2.0504022
I want to hear a Sandra ep,26,-2.4071295,-0.542728
play theme by Yanni on Vimeo,28,-2.9953887,-2.1540194
play fourties tunes,19,-3.797919,-1.7140706
Play a 2004 song by eliel on Zvooq.,35,-2.7755046,-1.9323673
Play some music on Vimeo,24,-3.0067267,-2.2269657
Play the newest music by Gladys Knight,38,-3.1443121,-1.446175
play Hora Din Moldova by Yamazaki Maso,38,-1.7230389,-1.2729912
play the album Winner Takes All by Takuro with Last Fm,54,-3.0267036,-1.7573985
Play the best ballad by The Rascals.,36,-3.5205128,-0.7860396
Play me the track Mama Liked The Roses,38,-2.2482905,-2.3605986
Play eighties,13,-3.9760578,-1.0117393
Play a 2014 theme from Greg Pattillo,36,-2.7871332,-1.6796297
Play some music from Roberto Carlos,35,-3.0990863,-1.5253379
Play the concert from Philip Oakey 1973 concert on Netflix,58,-4.4532447,0.21922058
Play some music from 1995,25,-3.8185537,-1.8433692
Play Kaori Mochida's most popular music on Google Music.,56,-3.739833,-1.4738123
Play A Chaos Of Desire from Dan Snaith,38,-1.6974949,1.9976432
Play music by Country Dick Montana.,35,-3.7536862,-1.5751863
play chant from the nineties with Last Fm,41,-4.7200823,-0.72827065
Play a top 5 song from Wally Bastian on Google Music,52,-3.8532422,-1.4272456
Play White Noise.,17,-3.0623488,-2.2031732
Play ep from Quasimoto from the nineties,40,-2.687433,-1.1816512
play a 1988 soundtrack,22,-3.3139958,-0.664515
Play a popular sound track by Joe Pass on Itunes.,49,-3.298152,-2.380078
Play something from the jonathon lee movement,45,-2.34179,-1.3728523
play James Moody ballad,23,-3.4669268,-0.84835774
I want to listen to some music from 2003 on Pandora from them,61,-2.9353447,-0.60096055
play a top 50  tune from the twenties by Willi Williams,55,-3.2743862,-1.7675339
play fifties track music,24,-3.1739323,-2.4411087
Play theme music from 2011.,27,-3.7180324,-1.5743986
play music by Billy Powell,26,-3.8681617,-1.6546017
Play One Good Reason by Tommy Flanagan on Itunes,48,-3.8914402,-1.9050044
Play some fun-punk,18,-0.58860314,-2.9731832
Play me a song by Dj Paul Elstak in 1988 on Zvooq,49,-2.9345753,-1.7791824
Play Hasan Saltik from 2004,27,-1.9764184,-1.3896239
I want to hear popular music from Martin Lopez,46,-2.5802653,-0.4800211
Play A Sudden Rainstorm playlist.,33,-1.110755,-2.950544
play wendy james from the fifties,33,-2.7131531,-1.1900566
Use Itunes to play music,24,-4.363795,-2.0550106
Play a Paul Davis melody,24,-3.5345988,-1.6549845
Play Lorenzo Palacios Quispe,28,-1.482087,-1.2428504
Put on Vimeo and play Kacapi Suling,35,-2.4566355,-1.9600011
play a soundtrack by Sarah Geronimo on google music,51,-3.6661882,-1.0023829
Play me a song from 1976 by Bennie Moten,40,-3.3867133,-1.0228235
I want to hear eighties music by Noko on deezer.,48,-2.8515341,-0.5586289
Play some Glenn Miller.,23,-2.146672,-2.1276891
Can I hear a song by David Hodges?,34,-2.3697011,-0.51093733
Play The New Retro playlist on Netflix.,39,-4.3947415,0.25116548
Play some P. J. Proby,21,-1.9991969,-1.4118885
Play soundtrack by Armand Van Helden,36,-2.3977973,-0.65682906
Play The Lamentation Of Cloris,30,-0.6040731,-1.870289
I want to hear the new Latin Pop Rising list,44,-1.0089651,-1.7951345
Please play some music from the seventies movement,50,-3.9839873,-0.97582144
play Signe Anderson chant music that is newest,46,-4.7032294,-0.7632068
play Richard Thompson from the thirties song book,49,-2.7671947,-1.34799
Play funtime activity,21,-0.8966197,-3.1243007
Play me a song from Luxury Liner,32,-3.075117,-1.1489251
I want to hear De Eerste Keer from Paul Caiafa  off of Google Music,67,-2.770886,-0.6472892
Play a sixties song.,20,-3.9299579,-0.9854016
I want to hear some twenties music off of Deezer,48,-2.805074,-0.5820364
Play some movement from 1959 on deezer.,39,-3.6474361,-2.4861495
play songs by Queen,19,-2.7456264,-1.4340785
Please play good music by Will Oldham.,38,-3.3647065,-1.472713
Play a song from the thirties on Zvooq,38,-2.8424237,-2.0232928
play Vanlose Stairway by Janove Ottesen,39,2.637289,2.443605
Play me the last 1980 record by Brenda Kahn,43,-3.2233438,-1.0973094
Play music from the top-5 from artist Kenia Arias,49,-3.152217,-1.3491079
Lets hear some 2009 music,25,-3.119968,-0.9067302
Play some bass music.,21,-3.9549847,-1.6325805
Play Furusato on Google Music.,30,-4.329908,-1.5048652
Play Party Anthems,18,-0.7923992,-2.831426
use Iheart radio to play eighties music from Hugh Masekela.,59,-3.4405744,-1.3349733
Play a symphony from Bob Hardy please,37,-3.5158432,-1.8358471
Play some eighties music.,25,-4.012205,-1.227219
Play a 1964 track from Shahram Nazeri on Pandora.,49,-2.9349682,-0.9525193
Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett,74,-2.3258054,-1.4305451
Play a new symphony by Perfecto De Castro on Lastfm,51,-3.2786307,-1.727662
Play some music from the thirties.,34,-3.8629918,-1.3505895
Play some Matthew Sweet music from around 1996 on Spotify,57,-3.6981764,-2.1084077
open lastfm  play top hits of Simon Webbe,41,-3.4180245,-2.0207705
play 1981 music on Last Fm,26,-3.53308,-2.0850368
Play a track from 1959.,23,-2.777989,-2.541975
Play chant music by Big Dee Irwin.,34,-4.7164044,-0.74832386
"Play me Gil Parris's A Cup Of Coffee, A Sandwich And You",56,4.2623715,2.0869153
Play Pura Vida.,15,-1.531436,-1.1290531
Play a top fifty ballad by Linda Strawberry on Google Music,59,-3.400692,-1.0673503
use Spotify to play greatest songs from Kailash Kher,52,-2.5987258,-2.3481534
Play the newest melody by Cisco Adler on pandora,48,-3.3011274,-0.8318628
Use service Vimeo to play music from the artist Mick track Now We Are 5,71,-3.0773778,-2.0946052
Open Youtube and play Renaldo Lapuz record from the eighties,60,-3.2587104,-0.34429574
play some good amber gristak on Lastfm,38,-2.234691,-1.7416738
play some synthpop,18,-3.9133759,-1.5207676
Play music from my relentless playlist,38,-1.8495457,-2.7559397
Plpay my Disco Fever playlist.,30,-0.41661286,-1.1493099
play valerij kipelov on Vimeo,29,-2.8537335,-2.1228254
Can you play The Change Is Made on Netflix,42,-4.4500756,0.21910703
Play some Robbie Merrill.,25,-1.7454927,-1.484009
Play me a song from the twenties by Randy Bachman,49,-3.3194108,-1.3403884
I need to hear some r&b music off of iheart,43,-2.6040452,-0.8499954
Play some dance music.,22,-3.475502,-1.6950536
Play new music from Liang Wern Fook,35,-3.5437567,-1.8702722
listen to Pmd symphony,22,-3.021084,-0.7445931
play By The Sleepy Lagoon by Greg Kurstin,41,-1.0107467,-2.885709
I want to listen to some Saori Atsumi from the twenties on Deezer,65,-2.5002477,-0.5986392
Play some gangsta music,23,-3.2654417,-1.0064297
Play The Eternal by Juju Mob on Vimeo.,38,-2.9121318,-2.1669385
Play me a Mario Vazquez movement,32,-1.9794548,-1.5184449
Play music on Lastfm,20,-3.6575277,-2.140916
Play Eve,8,-1.6333332,-1.0114392
Play music from 2011.,21,-3.8333783,-1.6604481
Play some Psychedelic Rock.,27,-2.2684398,-1.8309882
play Top 100 Indie Tracks on Spotify on Lastfm,46,-1.8511248,-3.0869017
play an eighties track ,23,-2.7780976,-2.5550227
Can you play me some eighties music by Adele,44,-3.9015841,-1.1933703
Play Oliver Cheatham's symphony from the thirties.,50,-2.6864955,-0.99608916
Play chant music by Ira Losco on Iheart.,40,-4.675982,-0.74945503
Play me the most popular Lillian Hardin song on Itunes,54,-3.6682546,-1.4953892
Play the red room sessions from chris cunningham,48,-0.92562425,-0.4797833
Can i use Lastfm to listen to Twilight Time by Dj Khalil?,57,-2.571394,-0.51501286
I want to listen to Roger Daltrey from the sixties on slacker,61,-2.539096,-0.45292053
Play music from Tommy Ridgley.,30,-3.5741408,-1.1662545
play All Of Your Toys by Chris Ledoux,37,-1.3455616,-1.2972573
Play music by Fidel Nadal sorted by newest.,43,-3.3691547,-1.6880544
Play Shaina Magdayao's music on Iheart,38,-3.2751503,-1.229552
I need to hear a thirties soundtrack,36,-3.0171728,-0.44382194
Play Dave Wyndorf album,23,-1.5048281,-0.9907278
Play me a song by Linn Berggren from Spotify,44,-2.6193767,-1.6862708
Play me something by Funtwo,27,-2.618062,-1.1050744
Play some The Lady Is A Tramp from Timour Moutsouraev,53,-1.8785298,-1.0454429
play pandora tracks by Akhtar Sadmani,37,-3.103835,-0.75054723
Please play some music from 1996,32,-3.828837,-1.9304129
Use the service Lastfm to play music by the artist ai kago,58,-3.4831207,-1.9255141
Can you play a song by Ken,26,-2.8969646,-1.3162858
Play music using Last Fm,24,-3.5840797,-2.102212
play some Kyle Ward from the seventies,38,-2.3664238,-0.94117856
Play Bald by Kaskade.,21,-2.3374336,-1.6460313
Play me some music on Deezer,28,-3.788406,-2.574912
Play my Futuros Hits playlist on Spotify.,41,-1.2264177,-2.806812
Play Strength of Street Knowledge on Groove Shark,49,-3.1314573,-3.5306747
Use Pandora to play Korean OSTs,31,-3.3237908,-0.63766783
Play some Gospel music.,23,-3.7400684,-1.740953
Play satire,11,-3.5123718,-0.63887596
Play the top 20 ep from the fifties by John Bundrick.,53,-2.9578726,-1.1968399
Play Alfredo Zitarrosa on spotify.,34,-2.3039618,-2.093939
Play me some Terror music,25,-3.7352183,-1.461633
Play music from 2010 by Jason Donovan,37,-3.8106754,-1.6635449
Play me something on Last Fm,28,-3.5112543,-2.107575
Play Giovanni Battista Guadagnini's 1982 tracks.,48,-1.9978911,-1.7297757
Play some Rumba Africana.,25,-1.8639653,-1.6605046
Play Greg Raposo songs from the thirties,40,-2.9273803,-1.4505017
Play a top-five song by Pete Candoli.,37,-2.7209985,-1.3640387
Play Iheart,11,-3.3846765,-0.9715027
